influence,beta,gamma,dt,avgI,cost(s),,,influence,beta,gamma,dt
0.3,0.005,0.01,0.005,0.782979,0.140935,,,,,,
0.5,0.001,0.1,0.01,0.782977,0.0714095,,,,,,
0.01,0.005,0.1,0.005,0.782976,0.140713,,,,,,
0.05,0.005,0.1,0.005,0.782975,0.139264,,,,,,
0.1,0.005,0.1,0.005,0.782973,0.140045,,,,,,
0.5,0.005,0.001,0.005,0.782972,0.139794,,,,,,
0.3,0.005,0.05,0.005,0.782972,0.142058,,,,,,
0.5,0.005,0.005,0.005,0.782971,0.138343,,,,,,
0.5,0.005,0.01,0.005,0.78297,0.137279,,,,,,
0.3,0.005,0.1,0.005,0.782964,0.139967,,,,,,
0.5,0.005,0.05,0.005,0.782963,0.138279,,,,,,
0.01,0.001,0.4,0.005,0.782961,0.13804,,,,,,
0.05,0.001,0.4,0.005,0.782961,0.14213,,,,,,
0.01,0.005,0.2,0.005,0.78296,0.144202,,,,,,
0.1,0.001,0.4,0.005,0.78296,0.147761,,,,,,
0.3,0.001,0.4,0.005,0.782959,0.141131,,,,,,
0.01,0.001,0.05,0.1,0.782958,0.0077359,,,,,,
0.05,0.005,0.2,0.005,0.782958,0.142707,,,,,,
0.5,0.001,0.4,0.005,0.782957,0.137607,,,,,,
0.1,0.005,0.2,0.005,0.782956,0.139112,,,,,,
0.5,0.005,0.1,0.005,0.782955,0.139677,,,,,,
0.01,0.001,0.2,0.01,0.782953,0.0678472,,,,,,
0.05,0.001,0.2,0.01,0.782952,0.0693021,,,,,,
0.1,0.001,0.2,0.01,0.782951,0.0713041,,,,,,
0.01,0.005,0.001,0.01,0.78295,0.0722614,,,,,,
0.01,0.01,0.001,0.005,0.78295,0.1417,,,,,,
0.01,0.05,0.01,0.001,0.78295,0.687523,,,,,,
0.01,0.05,0.005,0.001,0.78295,0.687822,,,,,,
0.01,0.05,0.001,0.001,0.78295,0.693704,,,,,,
0.01,0.005,0.005,0.01,0.782949,0.0704762,,,,,,
0.01,0.01,0.005,0.005,0.782949,0.140386,,,,,,
0.01,0.01,0.01,0.005,0.782949,0.140814,,,,,,
0.01,0.05,0.05,0.001,0.782949,0.663052,,,,,,
0.3,0.001,0.2,0.01,0.782948,0.0680818,,,,,,
0.01,0.005,0.01,0.01,0.782947,0.0703986,,,,,,
0.05,0.01,0.001,0.005,0.782947,0.139433,,,,,,
0.3,0.005,0.2,0.005,0.782947,0.139829,,,,,,
0.05,0.05,0.001,0.001,0.782947,0.675695,,,,,,
0.05,0.05,0.005,0.001,0.782947,0.692955,,,,,,
0.01,0.05,0.1,0.001,0.782947,0.694046,,,,,,
0.05,0.005,0.001,0.01,0.782946,0.0705488,,,,,,
0.05,0.01,0.005,0.005,0.782946,0.139455,,,,,,
0.05,0.05,0.01,0.001,0.782946,0.690039,,,,,,
0.05,0.005,0.005,0.01,0.782945,0.0701304,,,,,,
0.05,0.01,0.01,0.005,0.782945,0.139532,,,,,,
0.05,0.05,0.05,0.001,0.782945,0.712144,,,,,,
0.5,0.001,0.2,0.01,0.782944,0.0721412,,,,,,
0.05,0.005,0.01,0.01,0.782944,0.0721698,,,,,,
0.01,0.05,0.2,0.001,0.782944,0.665703,,,,,,
0.05,0.05,0.1,0.001,0.782944,0.695485,,,,,,
0.1,0.005,0.001,0.01,0.782942,0.0693416,,,,,,
